date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:37	192356/192356	---M-Z	200	added ('OK')	text/html	etag:%221365e0ebcf0d71:0%22	http://demo.neptuneapp.xyz/demo-1/ltr/index.html	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/demo-1/ltr/index.html	(from )
11:19:37	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Dec%202022%2022:49:39%20GMT	http://demo.neptuneapp.xyz/robots.txt		(from )
11:19:38	161409/161409	---M-Z	200	added ('OK')	text/css	etag:%2280e6b54176eed61:0%22	http://demo.neptuneapp.xyz/common-assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/common-assets/bootstrap/css/bootstrap.min.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:39	64141/64141	---M-Z	200	added ('OK')	text/css	etag:%2206d3f66e335d71:0%22	http://demo.neptuneapp.xyz/demo-1/ltr/assets/css/main.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/demo-1/ltr/assets/css/main.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:39	49555/49555	---M-Z	200	added ('OK')	text/css	etag:%22086d188e335d71:0%22	http://demo.neptuneapp.xyz/demo-1/ltr/assets/css/structure.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/demo-1/ltr/assets/css/structure.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:40	2597/2597	---M-Z	200	added ('OK')	text/css	etag:%2206d3f66e335d71:0%22	http://demo.neptuneapp.xyz/common-assets/plugins/perfect-scrollbar/perfect-scrollbar.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/common-assets/plugins/perfect-scrollbar/perfect-scrollbar.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:40	1012/1012	---M-Z	200	added ('OK')	text/css	etag:%2206d3f66e335d71:0%22	http://demo.neptuneapp.xyz/common-assets/plugins/highlight/styles/monokai-sublime.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/common-assets/plugins/highlight/styles/monokai-sublime.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:42	5316/5316	---M-Z	200	added ('OK')	text/css	etag:%22815ca64deb81d71:0%22	http://demo.neptuneapp.xyz/demo-1/ltr/assets/css/loader.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/demo-1/ltr/assets/css/loader.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:42	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/My%20Web%20Sites/CSR%20Theme/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:42	11401/11401	---M-Z	200	added ('OK')	text/css	etag:%2206d3f66e335d71:0%22	http://demo.neptuneapp.xyz/common-assets/plugins/apex/apexcharts.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/common-assets/plugins/apex/apexcharts.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
11:19:43	18091/18091	---M-Z	200	added ('OK')	text/css	etag:%2206d3f66e335d71:0%22	http://demo.neptuneapp.xyz/demo-1/ltr/assets/css/dashboard/dashboard_1.css	C:/My%20Web%20Sites/CSR%20Theme/demo.neptuneapp.xyz/demo-1/ltr/assets/css/dashboard/dashboard_1.css	(from http://demo.neptuneapp.xyz/demo-1/ltr/index.html)
